"Source:","/home/guido/Documents/Github/Hardware/volt_amp_meter/volt_amp_meter.kicad_sch"
"Date:","Fri 05 Jan 2024 15:30:51 -03"
"Tool:","Eeschema 7.0.6-7.0.6~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","29"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","100n","C","","Unpolarized capacitor","",""
"C2","1","100n","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C4, C5","2","22p","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol","",""
"D1, D2","2","5V1","D_Zener","Diode_SMD:D_MiniMELF","Zener diode","",""
"DS2","1","WC1602A","WC1602A_1","Display:WC1602A","LCD 16x2 Alphanumeric , 8 bit parallel bus, 5V VDD","",""
"J1","1","Molex","Conn_01x03_Pin","Connector_Molex:Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal","Generic connector, single row, 01x03, script generated","",""
"J2","1","ICSP","Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","Generic connector, single row, 01x05, script generated","",""
"R1","1","330","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, US symbol","",""
"R2","1","22k","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol","",""
"R3","1","4k7","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol","",""
"R4","1","0.33","R_US","Resistor_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm","Resistor, US symbol","",""
"R5, R14, R15","3","10k","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol","",""
"R6, R9, R10, R12","4","10k","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, US symbol","",""
"R7","1","1k","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, US symbol","",""
"R8","1","1k","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol","",""
"R11, R16","2","0","R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, US symbol","",""
"RV2","1","1k","R_Potentiometer_Trim_US","Potentiometer_THT:Potentiometer_Bourns_3386C_Horizontal","Trim-potentiometer, US symbol","",""
"U2","1","PIC16F883-IP","PIC16F883-IP_1","Package_DIP:DIP-28_W7.62mm_Socket_LongPads","4K Flash, 256B SRAM, 256B EEPROM, XLP, DIP28","",""
"U3","1","LM358","LM358","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8","",""
"U4","1","L78L05_SOT89","L78L05_SOT89","Package_TO_SOT_SMD:SOT-89-3","Positive 100mA 30V Linear Regulator, Fixed Output 5V, SOT-89","",""
"Y1","1","4MHz","Crystal_Small","Crystal:Crystal_SMD_HC49-SD","Two pin crystal, small symbol","",""
